"liability_owner","legal_entity_id","info_type","credit_status","valid_from","valid_to"
17726481,17726481,"CC","1",2002-11-26,2005-11-26
1730024,1730024,"CC","1",2005-08-25,2008-08-25
9978239,9978239,"CC","4",2000-04-05,2020-04-05
16250422,16250422,"CC","1",2004-11-30,2007-11-30
18625785,18625785,"CC","1",2003-03-10,2006-03-10
18625785,18625785,"CC","1",2003-03-10,2006-03-10
16867792,16867792,"CC","1",2001-10-27,2004-10-27
9978239,9978239,"CC","1",2002-04-13,2005-04-13
8543410,8543410,"CC","2",2006-05-31,2011-05-31
11573797,11573797,"CC","4",2012-01-31,2032-01-31
13654847,13654847,"CC","4",1996-07-01,2016-07-01
9978239,9978239,"CC","4",2003-09-09,2013-09-09
16066579,16066579,"CC","1",2004-04-02,2007-04-02
15875018,15875018,"CC","1",2007-08-03,2010-08-03
1730024,1730024,"CC","1",2002-04-20,2005-04-20
13654847,13654847,"CC","4",2007-08-23,2017-08-23
4642272,4642272,"CC","1",2008-12-22,2011-12-22
10274399,10274399,"CC","4",2007-04-11,2027-04-11
9978239,9978239,"CC","4",2007-01-29,2010-01-29
19073528,19073528,"CC","1",2000-11-01,2003-11-01
13654847,13654847,"CC","4",2005-07-13,2015-07-13
14630692,14630692,"CC","2",2008-09-09,2011-09-09
8898498,8898498,"CC","1",2005-07-05,2005-07-05
9978239,9978239,"CC","4",2009-04-30,2029-04-30
9978239,9978239,"CC","4",1998-04-11,2018-04-11
14234805,14234805,"CC","1",2008-12-03,2011-12-03
10075417,10075417,"CC","1",2010-12-23,2013-12-23
8103410,8103410,"CC","1",2004-10-14,2007-10-14
7062725,7062725,"CC","2",2003-06-25,2008-06-25
7062725,7062725,"CC","1",2003-07-31,2006-07-31
13654847,13654847,"CC","4",2001-09-26,2021-09-26
9696030,9696030,"CC","3",2003-02-05,2008-02-05
9978239,9978239,"CC","3",2003-03-07,2008-03-07
14758926,14758926,"CC","1",2009-05-28,2012-05-28
12653318,12653318,"CC","1",2009-03-20,2012-03-20
13654847,13654847,"CC","4",2008-02-27,2018-02-27
7062725,7062725,"CC","4",2003-10-15,2023-10-15
6257900,6257900,"CC","1",2005-07-25,2008-07-25
6257900,6257900,"CC","1",2000-10-17,2005-10-17
9985123,9985123,"CC","1",2006-08-04,2009-08-04
12477386,12477386,"CC","1",2002-06-12,2005-06-12
11573797,11573797,"CC","3",2006-05-30,2011-05-30
13992527,13992527,"CC","1",1996-07-19,1999-07-19
13992527,13992527,"CC","1",1996-07-19,1999-07-19
19073528,19073528,"CC","1",2005-11-07,2008-11-07
5338227,5338227,"CC","2",2007-02-20,2012-02-20
6257900,6257900,"CC","1",2003-06-17,2006-06-17
6257900,6257900,"CC","1",2002-11-19,2005-11-19
9716257,9716257,"CC","4",2008-06-16,2028-06-16
19104656,19104656,"CC","1",2017-04-12,2020-04-12
15250065,15250065,"CC","1",2000-03-24,2003-03-24
11573797,11573797,"CC","3",2005-06-23,2010-06-23
3498610,3498610,"CC","4",2018-07-03,2021-07-03
7062725,7062725,"CC","1",2011-09-06,2014-09-06
11841120,11841120,"CC","1",2010-11-01,2013-11-01
5372185,5372185,"CC","1",2011-02-16,2014-02-16
16250422,16250422,"CC","2",2010-10-07,2013-10-07
5338227,5338227,"CC","1",2002-08-13,2005-08-13
2746041,2746041,"CC","1",2004-05-17,2007-05-17
13654847,13654847,"CC","4",2005-10-06,2015-10-06
13654847,13654847,"CC","4",2005-10-06,2015-10-06
12947635,12947635,"CC","1",2006-04-25,2009-04-25
13654847,13654847,"CC","1",2004-08-16,2007-08-16
12130205,12130205,"CC","1",2005-04-18,2008-04-18
7062725,7062725,"CC","4",2005-07-29,2008-07-29
19104656,19104656,"CC","1",2005-09-07,2008-09-07
9696030,7765435,"CC","1",2004-05-18,2007-05-18
15645295,15645295,"CC","4",2005-01-24,2025-01-24
9696030,9696030,"CC","2",2002-06-13,2007-06-13
9985123,9985123,"CC","1",2008-08-20,2011-08-20
9978239,9978239,"CC","1",2010-05-27,2010-05-27
18651157,18651157,"CC","1",2011-03-21,2014-03-21
11573797,11573797,"CC","3",2006-06-15,2011-06-15
11573797,11573797,"CC","1",2006-03-17,2009-03-17
18484612,18484612,"CC","1",2005-12-29,2008-12-29
7309430,7309430,"CC","2",2008-09-09,2013-09-09
7309430,7309430,"CC","3",2009-06-10,2014-06-10
7309430,7309430,"CC","4",2008-10-31,2028-10-31
7309430,7309430,"CC","4",2008-09-03,2028-09-03
2548884,2548884,"CC","1",2000-02-25,2003-02-25
7062725,7062725,"CC","1",2003-03-14,2006-03-14
